[14/Jan/2025 14:48:06] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/jazzmin/templates with glob **/*.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/templates with glob **/*.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/account/templates with glob **/*.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/admin_honeypot/templates with glob **/*.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/jazzmin/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/account/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/admin_honeypot/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/login_history/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/multi_lab/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:296] Watching dir /home/nour/Downloads/multi-lab/backend_server/ParametersAnalyse/locale with glob **/*.mo.
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/template/loaders/cached.py first seen with mtime 1735748701.2928908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/pygments/styles/_mapping.py first seen with mtime 1735748699.324881
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/db/backends/postgresql/operations.py first seen with mtime 1735748701.2548907
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/sqlparse/engine/__init__.py first seen with mtime 1735748698.7058778
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/psycopg2/extensions.py first seen with mtime 1735748699.8838837
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/authentication.py first seen with mtime 1735748703.9699042
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1735748704.0129044
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1735748701.11389
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/python_ipware/__version__.py first seen with mtime 1735748699.2008803
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1735748698.706878
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/PIL/_version.py first seen with mtime 1735748699.937884
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/admin_honeypot/listeners.py first seen with mtime 1735748704.7069077
